"filename", "language", "JSON", "TypeScript", "JSON with Comments", "XML", "HTML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\reymark\Documents\react\vite\capstone1_admin\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\reymark\Documents\react\vite\capstone1_admin\package-lock.json", "JSON", 1544, 0, 0, 0, 0, 0, 0, 0, 1, 1545
"c:\Users\reymark\Documents\react\vite\capstone1_admin\package.json", "JSON", 27, 0, 0, 0, 0, 0, 0, 0, 1, 28
"c:\Users\reymark\Documents\react\vite\capstone1_admin\public\favicon.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\reymark\Documents\react\vite\capstone1_admin\public\icons.svg", "XML", 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 4, 29
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\assets\typescript.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\assets\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 5, 23
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\components\login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 64, 0, 0, 7, 71
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\components\verifyPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 413, 0, 0, 48, 461
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\hooks\useAprovePending.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\hooks\useLoginForm.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 3, 13, 78
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\lib\supabaseClient.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\pages\Admin.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 173, 0, 0, 21, 194
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\pages\Landing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 5, 68
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\pages\NotFound.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\pages\Scanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 150, 0, 0, 21, 171
"c:\Users\reymark\Documents\react\vite\capstone1_admin\src\vite-env.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 1, 2, 7
"c:\Users\reymark\Documents\react\vite\capstone1_admin\tsconfig.json", "JSON with Comments", 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\reymark\Documents\react\vite\capstone1_admin\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\reymark\Documents\react\vite\capstone1_admin\vite.config.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"Total", "-", 1579, 76, 21, 27, 16, 940, 16, 4, 147, 2826
